data;hora_utc;temp_c;temp_max_c;temp_min_c;umid_pct;umid_max_pct;umid_min_pct;pto_orvalho_c;pto_orvalho_max_c;pto_orvalho_min_c;press_hpa;press_max_hpa;press_min_hpa;vento_ms;dir_vento_ms;raj_vento_ms;radiacao_kj_m2;chuva_mm;cod_estacao;VL_LATITUDE;VL_LONGITUDE
11/02/2026;1800;34,3;34,7;32,9;38,0;43,0;37,0;18,1;19,7;17,3;971,5;972,3;971,5;2,0;179,0;4,2;2931,70;0,0;A756;-20,44444444;-52,87583332
11/02/2026;1800;30,5;31,8;29,9;55,0;59,0;46,0;20,5;21,8;18,2;948,8;949,5;948,8;0,9;192,0;5,9;2400,70;0,0;S733;-19,77430600000;-53,27398200000
11/02/2026;1800;30,2;30,4;29,1;60,0;68,0;59,0;21,7;23,6;20,8;965,3;965,9;965,2;2,7;331,0;6,1;2814,20;0,0;S731;-18,05217500000;-53,84559300000
11/02/2026;1800;36,0;36,2;33,3;23,0;31,0;17,0;11,9;14,6;7,8;959,9;960,7;959,9;0,9;52,0;6,7;3205,60;0,0;A750;-23,0025;-55,32944443
11/02/2026;1800;31,3;31,8;29,5;60,0;66,0;56,0;22,6;23,7;21,2;959,7;960,4;959,7;1,9;171,0;5,0;1791,00;0,0;S736;-22,04680600000;-52,89754500000
11/02/2026;1800;33,8;34,9;31,7;43,0;50,0;42,0;19,6;21,2;19,1;969,6;970,5;969,6;1,4;73,0;4,0;3058,30;0,0;S701;-22,14805555000;-53,76361111000
11/02/2026;1800;34,2;34,4;32,1;59,0;63,0;57,0;25,1;25,7;23,3;991,4;992,5;991,4;0,4;303,0;4,9;461,90;0,0;A719;-20,47555554;-55,78388888
11/02/2026;1800;32,4;33,9;32,4;58,0;63,0;51,0;23,0;24,7;22,0;995,7;996,7;995,7;1,6;108,0;3,1;1811,80;0,0;S729;-19,57376600000;-56,15540900000
11/02/2026;1800;33,1;33,6;31,7;41,0;46,0;37,0;18,0;19,5;16,5;941,5;942,2;941,5;2,0;280,0;6,5;2092,20;0,0;S702;-22,95500000000;-55,62611110000
11/02/2026;1800;31,4;31,8;29,5;50,0;62,0;48,0;19,8;22,4;19,1;940,0;940,6;940,0;2,6;257,0;6,3;3364,80;0,0;S703;-19,94555555000;-54,36861110000
11/02/2026;1800;31,0;32,6;30,8;55,0;58,0;51,0;20,9;22,4;20,3;964,8;965,5;964,8;2,7;110,0;5,6;3437,20;0,0;A759;-21,75;-52,47138888
